#{"t_start": 1713105693.4756846, "env_id": "None"}
r,l,t
-3.0,4500,20.950014
-96.0,4500,33.93389
-6.0,4500,46.773839
-109.0,4500,60.215723
-224.0,4378,72.64277
-186.0,4254,85.469089
-157.0,4500,98.768861
-188.0,4241,111.536886
-181.0,4500,125.010784
-157.0,4500,138.20278
3.0,4500,151.387267
-275.0,3916,162.391606
-181.0,4347,176.655626
-271.0,4122,189.255592
-222.0,4500,203.275129
-117.0,4500,216.560074
-212.0,4500,229.040231
-89.0,4500,241.251973
-244.0,4500,253.933095
-221.0,4500,266.577313
