rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
85.07142857142857,24576,904,27,1,4219.285714285715,,,,,,,,,,,,
65.0,49152,831,59,2,4298.6578947368425,4,-8.306356627494097,-0.06457919627428055,-0.06519567966461182,0.2,0.018883746,0.23600261048522952,0.28243462432874367,-0.043696451333201956,0.00025,,
62.3,73728,804,91,3,4329.1,8,-8.287648160010576,-0.10989684611558914,0.011960268020629883,0.2,0.032649327,0.33094279937631654,0.21659369830740616,-0.06779545839327739,0.00025,,
73.23529411764706,98304,806,121,4,4305.447058823529,12,-8.270548429340124,-0.15152256190776825,0.03660225868225098,0.2,0.042162627,0.39755250232792605,0.20439853044808842,-0.08322649050034175,0.00025,,
,120000,,,,,16,-8.25074677169323,-0.13014376163482666,0.03739827871322632,0.2,0.05048,0.42161052735173143,0.21269603850669228,-0.0781836528917097,0.00025,-210.8,4500.0
70.06,122880,747,164,5,4337.44,,,,,,,,,,,,
-68.38461538461539,24576,965,25,1,4427.846153846154,20,-8.23231740668416,-0.16391056776046753,0.010558366775512695,0.2,0.06451899,0.4872131477059156,0.17522130091674626,-0.09111117029410809,0.00025,,
-82.63888888888889,49152,841,58,2,4453.833333333333,24,-8.217926770448685,-0.16757719218730927,-0.14310145378112793,0.2,0.06877829,0.5052795551609961,0.199228907818906,-0.09364934923292867,0.00025,,
-90.13333333333334,73728,824,89,3,4438.633333333333,28,-8.195431649684906,-0.17534035444259644,-0.05655038356781006,0.2,0.07807632,0.5232137195835094,0.19335594802396372,-0.09497850072414349,0.00025,,
-94.07142857142857,98304,803,122,4,4445.535714285715,32,-8.178432442247868,-0.1865280270576477,0.05476951599121094,0.2,0.08294003,0.5382283675389772,0.178224097850034,-0.09723330104266856,0.00025,,
,120000,,,,,36,-8.156505584716797,-0.18546758592128754,0.02004915475845337,0.2,0.08652339,0.5345560872283386,0.18536937417229638,-0.09637459292307915,0.00025,-156.8,4351.2
-103.49,122880,737,166,5,4432.73,,,,,,,,,,,,
